,bnum,condition,base_abundance,halflife_minutes,gene_name
135,b3870,wt_plusrif,0.004438701963618571,21626840.0,glnA
136,b1613,wt_plusrif,5.267271287149278e-05,50.21658699180963,manA
137,b3939,wt_plusrif,3.926328838095882e-05,20.633689471303718,metB
138,b4266,wt_plusrif,2.60465787383495e-06,36.01283651958752,idnO
139,b4758,wt_plusrif,6.739535182139484e-06,40880.29443279009,pspH
140,b0607,wt_plusrif,0.0001529743802155722,15.943579994504615,uspG
141,b0931,wt_plusrif,0.00023862110835106776,42.33195397151051,pncB
142,b3849,wt_plusrif,9.394044857107873e-05,42.747306101260214,trkH
143,b4202,wt_plusrif,8.183159238963478e-05,69.37462117293634,rpsR
144,b1786,wt_plusrif,6.540002000963831e-06,83.07282865414734,dgcJ
145,b0597,wt_plusrif,3.889346330986072e-06,176.05567064165393,entH
146,b0618,wt_plusrif,2.4536141999219764e-06,38.01577913822758,citC
147,b1326,wt_plusrif,7.384528161534326e-05,18.489540716291906,mpaA
148,b1890,wt_plusrif,1.8643757604469887e-06,20.213076965494736,motA
149,b4788,wt_plusrif,1.6654918975485254e-07,23.003967826502773,yhgO
150,b0121,wt_plusrif,7.389902323862931e-05,28.103276338762925,speE
151,b1518,wt_plusrif,4.256155828699411e-06,27.17550800472546,lsrG
152,b0604,wt_plusrif,1.1951313520570982e-05,25.30926638083065,dsbG
153,b0146,wt_plusrif,2.2855438265475893e-05,8.267967695493269,sfsA
154,b3687,wt_plusrif,0.00011917726229884286,10.296797695519045,ibpA
155,b1163,wt_plusrif,9.767477259566407e-06,44.764142856934626,bluF
156,b3838,wt_plusrif,4.9864766911143236e-05,24.933967307777436,tatB
157,b0951,wt_plusrif,3.568648497168133e-05,36.045496976273846,pqiB
158,b0723,wt_plusrif,0.00014792546819517878,36.078678003630955,sdhA
159,b0918,wt_plusrif,9.108669429019921e-05,16.163729184473326,kdsB
160,b2574,wt_plusrif,0.00031575561334403125,30.816706424734456,nadB
161,b1167,wt_plusrif,4.008360176834115e-06,47.468301903771184,ymgC
162,b1524,wt_plusrif,1.1699312565350697e-05,38.91772620209571,glsB
163,b2175,wt_plusrif,1.2725697664490231e-05,58.819640140268646,mepS
164,b3114,wt_plusrif,4.924105566660423e-06,37.66457497701049,tdcE
165,b2859,wt_plusrif,9.088062420066476e-07,38.17896348917045,ygeO
166,b4677,wt_plusrif,8.468065946907657e-08,2.792054941638894,yobI
167,b3822,wt_plusrif,1.2627240127334608e-05,62.07313786021127,recQ
168,b3417,wt_plusrif,0.0001602551455782235,24.44005079865457,malP
169,b2675,wt_plusrif,7.730973287109755e-05,37.8459954829137,nrdE
170,b2842,wt_plusrif,1.4057302852595283e-05,100.28988998995146,kduD
171,b2310,wt_plusrif,0.0005931310198779196,351.7802810272564,argT
172,b4429,wt_plusrif,5.4960924387610595e-09,20.000586716505243,sokB
173,b1412,wt_plusrif,0.0011784297087231394,8.749114094793407,azoR
174,b1809,wt_plusrif,2.8059800943700015e-05,37.25876646510573,yoaB
175,b2194,wt_plusrif,9.357612348561018e-06,48.31032219388187,ccmH
176,b3539,wt_plusrif,8.532263791226551e-06,43.16877229141249,yhjV
177,b2365,wt_plusrif,7.017615054315911e-06,10.121921198868256,dsdX
178,b3630,wt_plusrif,1.011535909194213e-05,37.71340838407669,waaP
179,ERCC-00123,wt_plusrif,6.889412053799382e-07,10400.045774492814,unknown
180,b0112,wt_plusrif,0.00016607204635459664,43.22421559535384,aroP
181,b0297,wt_plusrif,2.120842199296923e-06,5.194376477699779,eaeH
182,b2911,wt_plusrif,0.013635673157953145,52592600.0,ssrS
183,b2379,wt_plusrif,0.0002280238067792345,29.52492611128983,alaC
184,b0928,wt_plusrif,0.00038463289926208476,37.81618559831845,aspC
185,b3446,wt_plusrif,3.465043214004703e-06,43.62275476081763,yrhB
186,b3089,wt_plusrif,3.531724308323799e-05,34.500717528424545,sstT
187,b0106,wt_plusrif,5.067382188636695e-06,9.147861920856071,hofC
188,b4653,wt_plusrif,9.56417176654556e-08,1440.0020118753596,unknown
189,b3889,wt_plusrif,1.1198492607307478e-07,14.965106803926405,yiiE
190,b1259,wt_plusrif,9.253871734458884e-06,36.44327747756899,yciG
191,b2832,wt_plusrif,9.994493318134865e-05,99.81856146193458,ygdQ
192,b0259,wt_plusrif,8.607971920427418e-05,51.836039027491935,insH1
193,b0294,wt_plusrif,8.366682440371098e-07,18.064936919742976,ecpR
194,b2399,wt_plusrif,5.121764165862341e-06,34.6660732440658,yfeD
195,b0465,wt_plusrif,1.7092015386118593e-05,60.84562801408834,mscK
196,b1192,wt_plusrif,3.6826167326688884e-05,29.805043353199785,ldcA
197,b2996,wt_plusrif,3.135983036400504e-06,32.690168228511,hybA
198,b2690,wt_plusrif,1.985825154033469e-05,19.86615464318368,yqaB
199,b1645,wt_plusrif,2.538069460141013e-05,60.81323882140422,ydhK
200,ERCC-00016,wt_plusrif,1.0549376444298722e-06,2437.963100060047,unknown
201,b2547,wt_plusrif,4.771394810215362e-06,79.512154849211,yphE
202,b0955,wt_plusrif,7.972450998832238e-05,9.553093313248885,ycbZ
203,ERCC-00095,wt_plusrif,3.953568933050297e-05,337.1338682500321,unknown
204,b3077,wt_plusrif,4.684820358756871e-07,4.1647902141941024,ebgC
205,b4533,wt_plusrif,2.5268729364370554e-07,2.0515487475501826,ynfO
206,b3576,wt_plusrif,8.170635836949353e-07,18.811495433302728,yiaL
207,b1730,wt_plusrif,6.216705726922688e-06,37.80832688284858,ydjO
208,b4282,wt_plusrif,4.620921511954448e-07,131.8217771443874,yjhE
209,b0662,wt_plusrif,0.0001707073634470706,11.284154988856235,ubiF
210,b1011,wt_plusrif,0.0022941249160969867,14.503939793206463,rutB
211,b4115,wt_plusrif,4.0379878482290454e-06,22.653733973012823,adiC
212,b3802,wt_plusrif,3.8050134138488386e-05,40.11183695228874,hemY
213,b3775,wt_plusrif,4.8082024088554154e-06,14.389261977974485,ppiC
214,b4079,wt_plusrif,3.627461983916072e-05,327641.81082850887,fdhF
215,b1147,wt_plusrif,2.274855608543459e-06,8.058522393847051,ymfL
216,b1203,wt_plusrif,3.6658845912515884e-05,39.629827487065256,ychF
217,b1216,wt_plusrif,8.952519872784497e-06,45.64762361121875,chaA
218,b1500,wt_plusrif,2.5036503467021977e-07,11.11193171525972,safA
219,b3604,wt_plusrif,2.200986339511191e-05,37.957970482857576,lldR
220,b0515,wt_plusrif,1.2134139851291098e-05,58.628821266345525,allE
221,b4242,wt_plusrif,6.0575106090714286e-05,20.366567176623334,mgtA
222,b0977,wt_plusrif,1.185622266665022e-06,29.268958523607555,hyaF
223,b3036,wt_plusrif,3.277311193292971e-05,15.595564386415631,unknown
224,b0967,wt_plusrif,4.312665418768309e-05,24.55065525393919,rlmI
225,b3642,wt_plusrif,1.551974130832728e-06,19.357115481343676,pyrE
226,b4147,wt_plusrif,7.864211434729578e-05,23.911088899967783,efp
227,b1054,wt_plusrif,5.674707601053486e-05,14.38099800538038,lpxL
228,b4789,wt_plusrif,1.0945763586777786e-07,2.1085832028279365,yhgP
229,b0335,wt_plusrif,1.6151071601956916e-05,165041.05696942727,prpE
230,b3673,wt_plusrif,2.0675661675574134e-06,114.3818862678676,emrD
231,b3102,wt_plusrif,5.8322156948117224e-05,8.082302916772447,yqjG
232,b3697,wt_plusrif,1.6424147613405962e-05,29.079470375051216,yidA
233,ERCC-00084,wt_plusrif,4.058797915053137e-05,163802.2069656463,unknown
234,b2362,wt_plusrif,8.521974259099473e-07,55.83998361687041,yfdS
235,b0595,wt_plusrif,5.352765064931041e-05,76.32513505846488,entB
236,b2048,wt_plusrif,7.823446290243294e-06,14.32663161365124,cpsG
237,b0695,wt_plusrif,0.00013202731739631008,15.261983497464982,kdpD
238,b4139,wt_plusrif,1.2835762755542916e-05,25.59011297257497,aspA
239,b4627,wt_plusrif,1.82611015231391e-06,36.81076268143362,unknown
240,b0111,wt_plusrif,2.4367866211080164e-05,40.781789251436834,ampE
241,b2252,wt_plusrif,3.0712752664117126e-06,78.70525596178662,ais
242,b1227,wt_plusrif,1.7054751156063416e-05,31.09725890919714,narI
243,b3933,wt_plusrif,4.358159134348221e-05,23.074786757727804,ftsN
244,b4483,wt_plusrif,5.645234710294665e-06,37.01584172422113,unknown
245,b0304,wt_plusrif,8.185418836889222e-06,65.33113049347783,rclA
246,b3354,wt_plusrif,2.655559780696843e-05,15.675021280467,yheU
247,b1807,wt_plusrif,4.8093383466614385e-06,55.4456914136095,tsaB
248,b3374,wt_plusrif,5.7275373540764985e-06,22.117804613578986,frlD
249,b4565,wt_plusrif,2.192636866321071e-06,42.97655659075183,sgcB
250,b2238,wt_plusrif,5.599296779712048e-07,99.37067635382073,yfaH
251,b4545,wt_plusrif,3.840635172587308e-07,11.93172695772468,ypdJ
252,b2046,wt_plusrif,1.8658974866812565e-06,54.12652288131636,wzxC
253,b4718,wt_plusrif,1.8107270597123269e-07,2.1087018793565995,gadF
254,b1893,wt_plusrif,2.231399752471131e-06,15.364407042967574,insB5
255,b1359,wt_plusrif,5.327148727763724e-06,24.759093501364013,ydaU
256,b2647,wt_plusrif,8.423706688651351e-05,18.675626917865507,ypjA
257,b2017,wt_plusrif,2.4194712830729115e-05,18.4962435373718,yefM
258,b0363,wt_plusrif,1.0110012728854427e-05,19.482835179721196,yaiP
259,b3377,wt_plusrif,5.53611022579688e-06,23.195859870201378,yhfT
260,b2589,wt_plusrif,0.00331307519770359,85.19771036639858,rrlG
261,b1945,wt_plusrif,3.7286547725399808e-06,32.543944977483264,fliM
262,b1665,wt_plusrif,3.685150121123278e-07,235.94971180629133,valV
263,b1906,wt_plusrif,8.482790232185246e-07,19.08841152958739,yecH
264,b1364,wt_plusrif,2.1554871141517303e-06,96.42016530201202,unknown
265,b2801,wt_plusrif,1.098098524753029e-06,39.10851394787405,fucP
266,b3626,wt_plusrif,5.158206878672664e-06,57.29227732590403,waaJ
267,b4801,wt_plusrif,7.962110549735324e-07,27.100039657497696,ykiE
268,b4341,wt_plusrif,1.0366275954434675e-07,1200.0052972958192,yjiS
269,b0793,wt_plusrif,5.9178792362678015e-06,32.9379010349707,ybhS
270,b2735,wt_plusrif,4.703600447302015e-05,15.789448896069825,ygbI
271,b0762,wt_plusrif,4.710649061353283e-06,94.96251945223565,acrZ
272,b2710,wt_plusrif,2.222962104075967e-05,163801.07246727572,norV
273,b2200,wt_plusrif,4.0766222196590165e-06,43.5470572345084,ccmB
274,b3268,wt_plusrif,0.00037484691394975444,1638380.0,yhdW
275,b2543,wt_plusrif,5.036222449458933e-05,6.77185961485992,yphA
276,b0936,wt_plusrif,1.9215346205577123e-06,32.45743309977297,ssuA
277,b3726,wt_plusrif,0.00010346514460474784,52.71749194832564,pstA
278,b2427,wt_plusrif,3.229541650002711e-06,12.425311475465001,murR
279,b0283,wt_plusrif,1.606680040553958e-05,38.695804957619494,paoD
280,b0432,wt_plusrif,9.041876722721191e-05,21.721187474507314,cyoA
281,b0805,wt_plusrif,3.601693600912448e-05,55.90828642357172,fiu
282,b2089,wt_plusrif,1.4421760252313123e-05,20.430720106816235,insF5
283,b2380,wt_plusrif,3.9452227439958876e-05,15.028941494622188,pyrS
284,b0642,wt_plusrif,0.00046775267597822705,20.980794578157276,leuS
285,b2500,wt_plusrif,2.113404832743462e-05,34.086258463821295,purN
286,b4044,wt_plusrif,6.706975526307204e-06,59.062892630188365,dinF
287,b4272,wt_plusrif,1.35254587733566e-05,11.11314894233105,insC6
288,b4727,wt_plusrif,0.0,19.99999999063277,yacM
289,b0853,wt_plusrif,4.862086165718364e-06,40.78616444476721,ybjN
290,b0548,wt_plusrif,3.6214728660994424e-07,2.0007365314299475,ninE
291,b2193,wt_plusrif,1.9990524614404595e-05,37.12575559118677,narP
292,b3142,wt_plusrif,1.760757828383119e-06,19.99994645814265,yraH
293,b2572,wt_plusrif,0.0010795850298386455,14.447149982834738,rseA
294,b3922,wt_plusrif,6.371735602129205e-05,23.259630062193704,yiiS
295,b0593,wt_plusrif,7.118486842450845e-05,57.41334199456234,entC
296,b3040,wt_plusrif,0.0001613330042310419,16.980827627687315,zupT
297,b2356,wt_plusrif,1.9633590289182924e-07,9.786344208301943,yfdM
298,b3704,wt_plusrif,6.733967750933077e-06,1802.7225706784043,rnpA
299,b2770,wt_plusrif,3.7593623147001878e-06,49.143528281270584,ygcR
300,b3901,wt_plusrif,3.607934313291212e-07,19.21271458363124,rhaM
301,b4748,wt_plusrif,2.413858083553136e-07,17.151471419389583,ynfT
302,b3691,wt_plusrif,4.287395101194875e-06,50.22326446428312,dgoT
303,b1920,wt_plusrif,0.000203385124325418,25.896283331266666,tcyJ
304,b4471,wt_plusrif,6.697899629854936e-06,41.71490958497199,unknown
305,b1297,wt_plusrif,9.3907441556535e-05,21.998341460642813,puuA
306,b2067,wt_plusrif,7.95535591222869e-05,37.9621106940021,dgcE
307,b3929,wt_plusrif,9.133417851612128e-05,33.61826686800919,rraA
308,b0651,wt_plusrif,2.9116405410047834e-06,20440.13961587447,rihA
309,b1152,wt_plusrif,2.212784080964447e-06,21.706832287600182,jayE
310,b3047,wt_plusrif,2.4007752045233946e-06,12.88728784924397,yqiH
311,b1912,wt_plusrif,2.3625315181398235e-05,27.955496722678202,pgsA
312,b1929,wt_plusrif,1.7427720480517973e-05,40.4859197932414,yedE
313,b2141,wt_plusrif,1.751004082687169e-05,10.906814183497977,yohJ
314,b4774,wt_plusrif,1.5674831855057737e-06,19.999883262134574,yncP
315,b4254,wt_plusrif,0.00011254251083156743,11.79561790491229,argI
316,b4274,wt_plusrif,1.0992231465365957e-06,8.951489925873675,unknown
317,b4363,wt_plusrif,2.307404098382261e-06,31.466439143651304,yjjB
318,b0829,wt_plusrif,0.00016207042088018617,54.41017448378583,gsiA
319,b4422,wt_plusrif,4.7148557650798386e-07,21.827058187614718,rdlB
320,b1950,wt_plusrif,3.619712921894809e-06,6.479100600264421,fliR
321,b2828,wt_plusrif,5.2386426001055574e-05,141.7815676414368,lgt
322,b3650,wt_plusrif,8.760667982067928e-05,43.43867108548019,spoT
323,b1517,wt_plusrif,1.050568279055072e-05,29.53069049439294,lsrF
324,b3790,wt_plusrif,1.3266072617689439e-05,26.694701881276725,rffC
325,b1558,wt_plusrif,5.112220389839012e-07,45.768500520355886,cspF
326,b0145,wt_plusrif,0.00025594641068543597,11.555946388350273,dksA
327,b1535,wt_plusrif,2.4656634399764884e-05,145.7940164480667,dgcZ
328,b2253,wt_plusrif,2.203383667284416e-05,48.18833010191342,arnB
329,b2074,wt_plusrif,2.9718972529862986e-05,10.317502423686584,mdtA
330,b3132,wt_plusrif,2.8923278660537666e-06,13.808528100486361,kbaZ
331,b3808,wt_plusrif,9.883128775874789e-06,13.753320576164656,yzcX
332,b1121,wt_plusrif,1.292214751978453e-06,169.3980359763662,ycfZ
333,b3228,wt_plusrif,1.4177834888968682e-05,57.99708940649882,sspB
334,b0521,wt_plusrif,2.1476439751264344e-06,63.04813876108331,ybcF
335,b2878,wt_plusrif,9.817161079163162e-06,74.5106696167148,ygfK
336,b4675,wt_plusrif,1.2530763187608069e-06,9.209387772578841,yoaJ
337,b3026,wt_plusrif,1.0444432572769297e-05,29.20725792227973,qseC
338,b3735,wt_plusrif,4.285744978840254e-05,53.56642208857401,atpH
339,b4119,wt_plusrif,1.693871654574256e-05,13.045299988262428,melA
340,b2291,wt_plusrif,1.2932726701803975e-05,26.245202290589344,yfbR
341,b1222,wt_plusrif,7.578069617117362e-05,20.679410974012427,narX
342,b1930,wt_plusrif,4.808514553654648e-06,48.27420601968803,yedF
343,b2081,wt_plusrif,7.403833737069789e-05,59.27462999805887,trhP
344,b1421,wt_plusrif,8.75076297508301e-06,25.61720326607502,trg
345,b2309,wt_plusrif,0.00019717916250398218,1310688.9633381756,hisJ
346,b3278,wt_plusrif,0.0019753118993864663,144.97510977932603,rrsD
347,b0988,wt_plusrif,1.8671013768467128e-05,14.823316894352264,insB4
348,b0202,wt_plusrif,1.099828714676901e-06,24.261364692561067,ileV
349,b0652,wt_plusrif,4.474354412115997e-05,327642.7365404332,gltL
350,b0655,wt_plusrif,0.0003927790282790312,242.50407570396368,gltI
351,b1993,wt_plusrif,1.4314573220299896e-05,18.146203701534272,cobU
352,b2294,wt_plusrif,8.739481599810194e-05,16.109064432184972,yfbU
353,b3917,wt_plusrif,6.719789096872753e-06,38.74097086768825,sbp
354,b4246,wt_plusrif,2.2726527314751618e-06,59.98691447614004,pyrL
355,b4311,wt_plusrif,6.032988089601959e-06,21.591488582344677,nanC
356,b0062,wt_plusrif,7.628365917569119e-06,32.84971088384124,araA
357,b0660,wt_plusrif,0.00026767922436798485,12.83116171469274,ybeZ
358,b3886,wt_plusrif,2.166617938028668e-05,43.42709529285699,yihY
359,b3741,wt_plusrif,4.403628159033297e-05,63.12525857328064,mnmG
360,b4488,wt_plusrif,0.0006633017720137948,8.151168015576616,unknown
361,b2597,wt_plusrif,0.0005700401552573735,10.39087731496797,raiA
362,b2919,wt_plusrif,8.3751079147486e-06,6.283185650059385,scpB
363,b3662,wt_plusrif,1.5520855716272984e-05,56.14037406916693,nepI
364,b2721,wt_plusrif,6.954098570922614e-06,96.47867457841208,hycE
365,b2838,wt_plusrif,6.2272547517008515e-06,19.80685816090668,lysA
366,b1433,wt_plusrif,6.963568965132632e-06,18.057051405854804,ydcO
367,b0820,wt_plusrif,3.9059417031764915e-05,50.48276481612639,ybiT
368,b0991,wt_plusrif,3.8012763311145656e-07,20.00018876466502,ymcE
369,b1982,wt_plusrif,0.0001085715114773432,73.96732992558107,amn
