"","wt_t00","wt_t00","wt_t00","wt_t10","wt_t10","wt_t10","wt_t10_riff","wt_t10_riff","wt_t10_riff","wt_t30","wt_t30","wt_t30","wt_t30_riff","wt_t30_riff","wt_t30_riff","wt_t60","wt_t60","wt_t60","wt_t60_riff","wt_t60_riff","wt_t60_riff","ppk_delta_t00","ppk_delta_t00","ppk_delta_t00","ppk_delta_t10","ppk_delta_t10","ppk_delta_t10","ppk_delta_t10_riff","ppk_delta_t10_riff","ppk_delta_t10_riff","ppk_delta_t30","ppk_delta_t30","ppk_delta_t30","ppk_delta_t30_riff","ppk_delta_t30_riff","ppk_delta_t30_riff","ppk_delta_t60","ppk_delta_t60","ppk_delta_t60","ppk_delta_t60_riff","ppk_delta_t60_riff","ppk_delta_t60_riff"
"b0019",0.00019312059472519,0.000226582598250236,0.00018604540053056,0.000193288686123557,0.000242169967903365,0.000248650712021122,0.000129579386774703,0.000181343712680791,0.000139053846577031,4.94543465425176e-05,0.000293742357382104,0.000231601947301791,9.44669753609817e-05,0.00010999885042185,6.46787690129709e-05,0.000202708221985975,0.000301288077590207,0.000241464861674905,0.00010088040479172,9.78959637300301e-05,7.44499764371671e-05,0.000282207919506776,0.000368507587468217,0.000261585536378381,0.000373588472372963,0.000173387170925599,0.000235045551101393,0.000117800176448498,0.000116593261492452,0.00011632612763029,0.000305075444909721,0.000167048093146017,0.000254550977422289,4.29910529004906e-05,4.35816356672106e-05,1.90362749817116e-05,0.000512806921414188,0.00049414277459126,0.000295204361928735,2.12652688296623e-05,2.39223003684034e-05,3.46977365343451e-05
"b0020",2.09444983115038e-05,1.70130278549665e-05,1.5060199903381e-05,1.83137628974675e-05,1.35406863773925e-05,1.32543023465417e-05,5.85669544744421e-06,1.17947130198888e-05,1.08002987632645e-05,1.29011338806568e-06,1.06332075070445e-05,2.12224891949848e-05,8.81436281258653e-06,8.11466929341517e-06,7.24402212945274e-06,2.00701209887104e-05,2.48704781029652e-05,1.50915538546815e-05,5.95359765983921e-06,1.30851040629248e-05,5.06727588315797e-06,6.05315537492794e-05,3.72162757407036e-05,4.76979384950982e-05,5.9208112439715e-05,2.10166267788604e-05,5.65562142826752e-05,3.04769860327948e-05,2.9148315373113e-05,3.61686279186616e-05,6.31902658905966e-05,5.84668326011059e-05,5.25735390942183e-05,7.50435538795546e-06,2.4212019815117e-05,2.71946785453023e-06,3.3283141534094e-05,5.10478072924856e-05,4.28705872292501e-05,3.29978309425794e-06,1.19611501842017e-05,4.74285607303998e-06
"b0021",2.87473506236327e-06,3.60882409044744e-06,2.20709826170239e-06,2.72090191619517e-06,3.12477377939826e-06,3.18103256317e-06,1.46417386186105e-06,7.37169563743052e-07,2.70007469081613e-06,2.15018898010946e-06,1.32915093838056e-06,4.6135846076054e-06,1.72454924594084e-06,2.70488976447172e-06,5.17430152103767e-07,2.00701209887104e-06,2.84234035462459e-06,3.30127740571159e-06,3.30755425546623e-07,1.93853393524812e-06,2.33874271530368e-06,1.4151295673818e-05,1.69466969890704e-05,1.57319516439973e-05,1.6981294198771e-05,5.25415669471511e-06,1.76413879413849e-05,1.06006907940156e-05,1.02019103805896e-05,8.79777435859337e-06,1.3766942459825e-05,8.35240465730084e-06,1.63364104530057e-05,2.9254266766606e-06,4.8424039630234e-06,2.71946785453023e-06,1.60252162941934e-05,1.02095614584971e-05,1.59201119684218e-05,1.09992769808598e-06,5.98057509210086e-06,2.4962400384421e-06
"b0022",6.16014656220701e-07,2.31995834385907e-06,6.49146547559527e-07,2.09300147399629e-07,5.2079562989971e-07,7.0689612514889e-07,3.66043465465263e-07,1.4743391274861e-06,5.06264004528025e-07,1.72015118408757e-06,6.64575469190281e-07,0,3.83233165764632e-07,0,0,0,0,7.8601842993133e-07,0,0,0,3.35377527529792e-06,3.32288176256282e-06,3.01250137863778e-06,2.71700707180336e-06,0,2.50784436421649e-06,2.12013815880312e-06,7.28707884327825e-06,3.25843494762718e-06,1.652033095179e-06,0,2.97025644600104e-06,1.27192464202635e-07,0,0,2.46541789141437e-06,2.04191229169942e-06,2.50173188075199e-06,1.09992769808598e-06,0,2.4962400384421e-07
"b0023",3.41888134202489e-05,2.39729028865437e-05,1.96042257362977e-05,2.77322695304508e-05,1.9790233936189e-05,1.7495679097435e-05,1.90342602041937e-05,8.10886520117357e-06,1.65379574812488e-05,5.16045355226271e-06,1.06332075070445e-05,1.93770553519427e-05,1.05389120585274e-05,2.70488976447172e-06,6.72659197734898e-06,2.06722246183717e-05,1.06587763298422e-05,1.61919796565854e-05,7.44199707479902e-06,2.90780090287218e-06,3.11832362040491e-06,2.24130347666251e-05,9.63635711143218e-06,2.41000110291023e-05,1.67548769427874e-05,7.88123504207266e-06,2.24841218860788e-05,1.04681821590904e-05,8.7444946119339e-06,9.44946134811881e-06,1.45929590074145e-05,1.67048093146017e-05,1.81185643206063e-05,8.14031770896863e-06,4.8424039630234e-06,0,1.17107349842182e-05,2.04191229169942e-06,1.76258382507527e-05,1.06326344148311e-05,0,2.4962400384421e-06
"b0024",5.13345546850584e-06,7.21764818089489e-06,2.85624480926192e-06,3.97670280059295e-06,6.24954755879652e-06,5.4784449699039e-06,5.49065198197895e-06,6.63452607368747e-06,5.06264004528025e-06,1.29011338806568e-06,5.31660375352225e-06,8.30445229368972e-06,2.68263216035242e-06,5.86059448968873e-06,2.06972060841507e-06,6.02103629661311e-06,4.97409562059304e-06,4.71611057958798e-06,2.31528797882636e-06,1.93853393524812e-06,1.55916181020245e-06,1.54600860251538e-05,3.35611058018845e-05,1.15479219514448e-05,1.17736973111479e-05,7.88123504207266e-06,1.76413879413849e-05,4.37278495253143e-06,5.8296630746226e-06,5.21349591620348e-06,1.51436367058075e-05,3.34096186292033e-05,1.7227487386806e-05,1.01753971362108e-06,0,0,1.54088618213398e-05,1.22514737501965e-05,1.66024024813541e-05,1.46657026411464e-06,0,4.99248007688419e-07
"b0025",0.000111806660104057,0.000106975856966835,0.000106070545871227,9.53362171405309e-05,0.000114054242948037,9.59611489889618e-05,8.38239535915453e-05,0.000128267504091291,7.15519793066276e-05,2.10718520050727e-05,0.000124275612738583,0.000107035162896445,5.42274929556954e-05,5.1843720485708e-05,3.67375407993675e-05,0.000106170940030278,0.00011440419927364,0.000104697654866853,1.96799478200241e-05,2.37470407067895e-05,2.06588939851825e-05,0.000166543572207477,0.000183423073293468,0.000153302847935123,0.000165624222752013,7.88123504207266e-05,0.000160502039309855,0.000102959209336876,9.91042722685842e-05,8.83035870806964e-05,0.000144277556978966,6.68192372584067e-05,0.000166730395168858,1.50087107759109e-05,4.8424039630234e-06,1.63168071271814e-05,0.000147308719012008,0.000130682386668763,0.000162726287334368,1.06326344148311e-05,0,1.04842081614568e-05
"b0026",0.000649279447656619,0.000762750748830999,0.000665764699177051,0.000606447177090424,0.000552043367693693,0.000607223771502897,0.000575786371176859,0.000902295546021496,0.00048365087899244,0.000117400318313977,0.00100816098676166,0.000578543509793717,0.000327281123562995,0.000484626082801184,0.000308905800805949,0.00065067332245399,0.000844885670412161,0.000642334260939883,0.00012932537138873,0.000204515330168677,7.67887191524708e-05,0.00130159200440343,0.00176577936862588,0.00112232412473028,0.00129046515047861,0.000677786213618249,0.00135760857495981,0.0012096713282321,0.00147781958941683,0.000939080951906152,0.00144566662770622,0.00108581260544911,0.00131810080218706,0.000314419771508913,0.0002275929862621,0.00011965658559933,0.00113039410321349,0.00114347088335168,0.00134104200316856,0.00011219262520477,0.000173436677670925,0.000110333809699141
"b0027",5.04105327007273e-05,6.59899262253247e-05,4.85561617574526e-05,5.075528574441e-05,5.05171761002719e-05,5.33706574487412e-05,5.30763024924632e-05,9.28833650316246e-05,6.12579445478911e-05,6.88060473635028e-06,8.5065660056356e-05,4.98267137621383e-05,3.62155341647577e-05,7.07779488370101e-05,3.31155297346411e-05,4.27493577059531e-05,8.45596255500817e-05,5.8479771186891e-05,2.0176080958344e-05,2.42316741906015e-05,2.18282653428343e-05,0.000156727644572459,0.000242570368667086,0.000127696586216702,0.000159737374096439,8.93206638101568e-05,0.000135077686100212,0.000165503285021568,0.000206953039149102,0.000146955416137986,0.000163826615271917,0.000141990879174114,0.000146334634239651,7.11005874892729e-05,7.74784634083745e-05,2.71946785453023e-05,0.000147925073484862,0.000208275053753341,0.000164090868360233,1.68655580373183e-05,5.98057509210086e-06,2.07187923190694e-05
"b0028",2.10471674208739e-05,2.93861390222149e-05,1.62286636889882e-05,2.42788170983569e-05,1.71862557866904e-05,1.06034418772333e-05,2.92834772372211e-05,3.61213086234096e-05,2.21068615310571e-05,3.44030236817514e-06,2.25955659524696e-05,1.1995319979774e-05,2.29939899458779e-05,2.56964527624814e-05,2.74237980614997e-05,2.40841451864524e-05,2.20281377483406e-05,2.07508865501871e-05,1.50493718623713e-05,2.27777737391654e-05,8.18559950356288e-06,9.56234950444698e-05,0.000102012470110679,7.2634755462711e-05,8.80763125776257e-05,2.62707834735755e-05,0.000101265025879224,0.000123763065020132,0.000118050677261108,0.000102640700850256,0.000113026597595163,0.000150343283831415,0.000101681779001435,3.49779276557246e-05,1.45272118890702e-05,3.53530821088929e-05,5.48555480839697e-05,5.92154564592832e-05,8.57411744585001e-05,1.75988431693757e-05,2.99028754605043e-05,2.44631523767325e-05
