gene_name,fit_gene_eff,pval_gene_eff,fit_dppk_eff,pval_dppk_eff,fit_Nminus_eff,pval_Nminus_eff,fit_dppk:Nminus_ff,pval_dppk:Nminus_eff
b0030,-0.2622949089392834,0.35863010975752263,-0.07953010894408272,0.8318472670469773,-0.009632856479294051,0.9820477745118753,-0.34161863399554077,0.5489740910557829
b0032,-0.2754256627037022,0.00014273561501165573,0.10030977376653678,0.2976660891406824,-1.3359049113403112,0.2168660063656338,0.5625981206671447,0.6072815135765492
b0033,0.2874697281808066,0.10594048568747898,-0.05900520933414689,0.6654652207455223,-0.1626957795864747,0.7844130289872179,-0.49176523253710835,0.5334983568034259
b0034,0.2977559516365539,0.3059266576517149,-0.09923731590074686,0.6038458584536744,-1.2039867972581966,0.15521674942805427,0.6451296640775172,0.4684905232681015
b0035,0.39752671841122844,4.371680458852287e-05,-0.02974691018791831,0.7554917503544216,0.27004369750486257,0.03765544057749165,-0.794845315281554,2.2801635824742356e-06
b0048,0.32346359426380655,0.24612970413416801,-0.06125498765035696,0.780912736487196,-0.30281693027769496,0.26134095533552437,-0.9622306053311253,0.008381852911693775
b0049,0.4528060398550219,0.001771123123276504,-0.06576042353950808,0.7228750640245065,0.009260696109046807,0.9768968640944142,-0.28764463284253294,0.48521449243368997
b0050,-0.3194774053110453,0.361074314628014,0.5179946864074441,0.06233739143979488,0.5104453645173814,0.24704008426705382,-1.3099852226933764,0.05882328477268384
b0052,-0.20499182417768802,0.2545209039020111,0.052115017900293485,0.5112627149604974,-0.8981783457505802,0.002449556632298851,0.16174901218203863,0.6315872281669227
b0053,0.19071362960684873,0.14292260357493486,-0.25186485002589004,0.012536614245305661,0.2755177027483658,0.1515373690456597,-0.22146529780352994,0.408596226031099
b0055,0.1711030602160711,0.3855718473594829,-0.07450406293263097,0.6567309233426565,-0.3404953957032516,0.38608709605589975,-0.5896757228493363,0.3704701797009058
b0056,-0.5306449906950694,0.011903788704090992,-0.29468146234659903,0.294125953933995,0.30737748434618417,0.4236783973942735,-1.044268454599452,0.048567704296708245
b0057,-0.05327629530348426,0.6950207006057634,-0.019557269932069358,0.9255279495137813,-0.680849829590743,0.046067985244874585,0.15158603507504528,0.7307453348347572
b0058,0.13231755526027544,0.8565911586744868,-0.48756166234241693,0.19720979063033495,-0.6054379487509491,0.25140989188250573,0.2323451484721637,0.7438453195603936
